date,Category,Count,Cumulative_Sum
2017-03,2.5–4.5,13579,1543727
2017-04,2.5–4.5,10738,1554465
2017-05,2.5–4.5,13420,1567885
2017-06,2.5–4.5,12331,1580216
2017-07,2.5–4.5,12294,1592510
2017-08,2.5–4.5,12787,1605297
2017-09,2.5–4.5,11523,1616820
2017-10,2.5–4.5,11999,1628819
2017-11,2.5–4.5,12979,1641798
2017-12,2.5–4.5,11847,1653645
2018-01,2.5–4.5,10650,1664295
2018-02,2.5–4.5,12266,1676561
2018-03,2.5–4.5,12337,1688898
2018-04,2.5–4.5,11044,1699942
2018-05,2.5–4.5,12217,1712159
2018-06,2.5–4.5,9708,1721867
2018-07,2.5–4.5,10166,1732033
2018-08,2.5–4.5,10814,1742847
2018-09,2.5–4.5,10298,1753145
2018-10,2.5–4.5,11633,1764778
2018-11,2.5–4.5,11811,1776589
2018-12,2.5–4.5,9882,1786471
2019-01,2.5–4.5,9535,1796006
2019-02,2.5–4.5,10840,1806846
2019-03,2.5–4.5,11275,1818121
2019-04,2.5–4.5,9846,1827967
2019-05,2.5–4.5,10043,1838010
2019-06,2.5–4.5,7873,1845883
2019-07,2.5–4.5,8533,1854416
2019-08,2.5–4.5,9363,1863779
2019-09,2.5–4.5,9240,1873019
2019-10,2.5–4.5,10163,1883182
2019-11,2.5–4.5,11225,1894407
2019-12,2.5–4.5,8743,1903150
2020-01,2.5–4.5,7800,1910950
2020-02,2.5–4.5,10088,1921038
2020-03,2.5–4.5,10689,1931727
2020-04,2.5–4.5,9015,1940742
2020-05,2.5–4.5,10080,1950822
2020-06,2.5–4.5,9745,1960567
2020-07,2.5–4.5,9338,1969905
2020-08,2.5–4.5,7459,1977364
2020-09,2.5–4.5,7739,1985103
2020-10,2.5–4.5,8126,1993229
2020-11,2.5–4.5,8715,2001944
2020-12,2.5–4.5,7853,2009797
2021-01,2.5–4.5,6606,2016403
2021-02,2.5–4.5,8404,2024807
2021-03,2.5–4.5,9497,2034304
2021-04,2.5–4.5,8478,2042782
2021-05,2.5–4.5,8479,2051261
2021-06,2.5–4.5,8365,2059626
2021-07,2.5–4.5,7192,2066818
2021-08,2.5–4.5,6955,2073773
2021-09,2.5–4.5,6755,2080528
2021-10,2.5–4.5,6118,2086646
2021-11,2.5–4.5,6297,2092943
2021-12,2.5–4.5,5768,2098711
2022-01,2.5–4.5,3449,2102160
2022-02,2.5–4.5,5088,2107248
2022-03,2.5–4.5,5769,2113017
2022-04,2.5–4.5,4325,2117342
2022-05,2.5–4.5,5238,2122580
2022-06,2.5–4.5,5358,2127938
2022-07,2.5–4.5,5002,2132940
2022-08,2.5–4.5,5569,2138509
2022-09,2.5–4.5,5195,2143704
2022-10,2.5–4.5,4755,2148459
2022-11,2.5–4.5,5417,2153876
2022-12,2.5–4.5,4387,2158263
2023-01,2.5–4.5,3152,2161415
2023-02,2.5–4.5,4552,2165967
2023-03,2.5–4.5,4513,2170480
2023-04,2.5–4.5,3862,2174342
2023-05,2.5–4.5,4860,2179202
2023-06,2.5–4.5,4636,2183838
2023-07,2.5–4.5,4208,2188046
2023-08,2.5–4.5,4754,2192800
2023-09,2.5–4.5,4205,2197005
2023-10,2.5–4.5,4227,2201232
2023-11,2.5–4.5,4379,2205611
2023-12,2.5–4.5,3778,2209389
2024-01,2.5–4.5,2928,2212317
2024-02,2.5–4.5,4148,2216465
2024-03,2.5–4.5,3967,2220432
2024-04,2.5–4.5,4297,2224729
2024-05,2.5–4.5,4324,2229053
2024-06,2.5–4.5,2235,2231288
2007-01,4.5–6.5,5,5
2007-02,4.5–6.5,10,15
2007-03,4.5–6.5,15,30
2007-04,4.5–6.5,16,46
2007-05,4.5–6.5,31,77
2007-06,4.5–6.5,21,98
2007-07,4.5–6.5,10,108
2007-08,4.5–6.5,27,135
2007-09,4.5–6.5,26,161
2007-10,4.5–6.5,42,203
2007-11,4.5–6.5,48,251
2007-12,4.5–6.5,43,294
2008-01,4.5–6.5,20,314
2008-02,4.5–6.5,31,345
2008-03,4.5–6.5,38,383
2008-04,4.5–6.5,64,447
2008-05,4.5–6.5,37,484
2008-06,4.5–6.5,49,533
2008-07,4.5–6.5,80,613
2008-08,4.5–6.5,57,670
2008-09,4.5–6.5,136,806
2008-10,4.5–6.5,100,906
2008-11,4.5–6.5,62,968
2008-12,4.5–6.5,122,1090
2009-01,4.5–6.5,66,1156
2009-02,4.5–6.5,94,1250
2009-03,4.5–6.5,114,1364
2009-04,4.5–6.5,181,1545
2009-05,4.5–6.5,168,1713
2009-06,4.5–6.5,149,1862
2009-07,4.5–6.5,244,2106
2009-08,4.5–6.5,186,2292
2009-09,4.5–6.5,312,2604
2009-10,4.5–6.5,426,3030
2009-11,4.5–6.5,522,3552
2009-12,4.5–6.5,524,4076
2010-01,4.5–6.5,467,4543
2010-02,4.5–6.5,697,5240
2010-03,4.5–6.5,1075,6315
2010-04,4.5–6.5,1185,7500
2010-05,4.5–6.5,1278,8778
2010-06,4.5–6.5,2084,10862
2010-07,4.5–6.5,2634,13496
2010-08,4.5–6.5,2946,16442
2010-09,4.5–6.5,3392,19834
2010-10,4.5–6.5,3741,23575
2010-11,4.5–6.5,4528,28103
2010-12,4.5–6.5,3263,31366
2011-01,4.5–6.5,5290,36656
2011-02,4.5–6.5,5618,42274
2011-03,4.5–6.5,7426,49700
2011-04,4.5–6.5,6959,56659
2011-05,4.5–6.5,11233,67892
2011-06,4.5–6.5,20536,88428
2011-07,4.5–6.5,6894,95322
2011-08,4.5–6.5,8765,104087
2011-09,4.5–6.5,13131,117218
2011-10,4.5–6.5,7521,124739
2011-11,4.5–6.5,9184,133923
2011-12,4.5–6.5,8275,142198
2012-01,4.5–6.5,7067,149265
2012-02,4.5–6.5,10389,159654
2012-03,4.5–6.5,14024,173678
2012-04,4.5–6.5,17120,190798
2012-05,4.5–6.5,31537,222335
2012-06,4.5–6.5,53599,275934
2012-07,4.5–6.5,24026,299960
2012-08,4.5–6.5,30434,330394
2012-09,4.5–6.5,35770,366164
2012-10,4.5–6.5,25334,391498
2012-11,4.5–6.5,26085,417583
2012-12,4.5–6.5,39432,457015
2013-01,4.5–6.5,17915,474930
2013-02,4.5–6.5,20337,495267
2013-03,4.5–6.5,23565,518832
2013-04,4.5–6.5,26788,545620
2013-05,4.5–6.5,37119,582739
2013-06,4.5–6.5,45443,628182
2013-07,4.5–6.5,25644,653826
2013-08,4.5–6.5,23459,677285
2013-09,4.5–6.5,24986,702271
2013-10,4.5–6.5,29422,731693
2013-11,4.5–6.5,30038,761731
2013-12,4.5–6.5,24884,786615
2014-01,4.5–6.5,24471,811086
2014-02,4.5–6.5,25070,836156
2014-03,4.5–6.5,25872,862028
2014-04,4.5–6.5,25675,887703
2014-05,4.5–6.5,30807,918510
2014-06,4.5–6.5,28076,946586
2014-07,4.5–6.5,30330,976916
2014-08,4.5–6.5,26864,1003780
2014-09,4.5–6.5,30558,1034338
2014-10,4.5–6.5,30858,1065196
2014-11,4.5–6.5,26868,1092064
2014-12,4.5–6.5,25752,1117816
2015-01,4.5–6.5,21721,1139537
2015-02,4.5–6.5,25450,1164987
2015-03,4.5–6.5,26255,1191242
2015-04,4.5–6.5,22181,1213423
2015-05,4.5–6.5,23781,1237204
2015-06,4.5–6.5,25319,1262523
2015-07,4.5–6.5,29753,1292276
2015-08,4.5–6.5,26901,1319177
2015-09,4.5–6.5,27282,1346459
2015-10,4.5–6.5,26847,1373306
2015-11,4.5–6.5,25377,1398683
2015-12,4.5–6.5,23905,1422588
2016-01,4.5–6.5,19712,1442300
2016-02,4.5–6.5,26026,1468326
2016-03,4.5–6.5,25194,1493520
2016-04,4.5–6.5,23662,1517182
2016-05,4.5–6.5,25091,1542273
2016-06,4.5–6.5,23492,1565765
2016-07,4.5–6.5,23424,1589189
2016-08,4.5–6.5,27127,1616316
2016-09,4.5–6.5,28051,1644367
2016-10,4.5–6.5,27976,1672343
2016-11,4.5–6.5,34408,1706751
2016-12,4.5–6.5,38336,1745087
2017-01,4.5–6.5,27144,1772231
2017-02,4.5–6.5,34733,1806964
2017-03,4.5–6.5,38229,1845193
2017-04,4.5–6.5,32330,1877523
2017-05,4.5–6.5,39900,1917423
2017-06,4.5–6.5,39524,1956947
2017-07,4.5–6.5,43169,2000116
2017-08,4.5–6.5,46491,2046607
2017-09,4.5–6.5,43058,2089665
2017-10,4.5–6.5,47362,2137027
2017-11,4.5–6.5,54959,2191986
2017-12,4.5–6.5,51218,2243204
2018-01,4.5–6.5,42609,2285813
2018-02,4.5–6.5,49024,2334837
2018-03,4.5–6.5,50363,2385200
2018-04,4.5–6.5,44590,2429790
2018-05,4.5–6.5,47687,2477477
2018-06,4.5–6.5,40810,2518287
2018-07,4.5–6.5,43584,2561871
2018-08,4.5–6.5,44300,2606171
2018-09,4.5–6.5,41633,2647804
2018-10,4.5–6.5,46899,2694703
2018-11,4.5–6.5,51439,2746142
2018-12,4.5–6.5,41257,2787399
2019-01,4.5–6.5,34595,2821994
2019-02,4.5–6.5,43407,2865401
2019-03,4.5–6.5,41528,2906929
2019-04,4.5–6.5,36641,2943570
2019-05,4.5–6.5,36984,2980554
2019-06,4.5–6.5,28777,3009331
2019-07,4.5–6.5,35077,3044408
2019-08,4.5–6.5,34880,3079288
2019-09,4.5–6.5,36463,3115751
2019-10,4.5–6.5,38038,3153789
2019-11,4.5–6.5,37367,3191156
2019-12,4.5–6.5,33308,3224464
2020-01,4.5–6.5,27512,3251976
2020-02,4.5–6.5,31808,3283784
2020-03,4.5–6.5,34884,3318668
2020-04,4.5–6.5,27224,3345892
2020-05,4.5–6.5,27330,3373222
2020-06,4.5–6.5,27061,3400283
2020-07,4.5–6.5,30320,3430603
2020-08,4.5–6.5,22603,3453206
2020-09,4.5–6.5,23146,3476352
2020-10,4.5–6.5,23627,3499979
2020-11,4.5–6.5,28649,3528628
2020-12,4.5–6.5,24395,3553023
2021-01,4.5–6.5,18870,3571893
2021-02,4.5–6.5,24616,3596509
2021-03,4.5–6.5,25934,3622443
2021-04,4.5–6.5,23029,3645472
2021-05,4.5–6.5,20035,3665507
2021-06,4.5–6.5,21202,3686709
2021-07,4.5–6.5,20272,3706981
2021-08,4.5–6.5,18981,3725962
2021-09,4.5–6.5,18850,3744812
2021-10,4.5–6.5,18108,3762920
2021-11,4.5–6.5,21399,3784319
2021-12,4.5–6.5,20160,3804479
2022-01,4.5–6.5,12830,3817309
2022-02,4.5–6.5,18001,3835310
2022-03,4.5–6.5,18196,3853506
2022-04,4.5–6.5,14831,3868337
2022-05,4.5–6.5,16845,3885182
2022-06,4.5–6.5,18658,3903840
2022-07,4.5–6.5,18449,3922289
2022-08,4.5–6.5,21911,3944200
2022-09,4.5–6.5,19892,3964092
2022-10,4.5–6.5,18743,3982835
2022-11,4.5–6.5,21920,4004755
2022-12,4.5–6.5,18500,4023255
2023-01,4.5–6.5,13637,4036892
2023-02,4.5–6.5,17913,4054805
2023-03,4.5–6.5,17261,4072066
2023-04,4.5–6.5,13505,4085571
2023-05,4.5–6.5,17354,4102925
2023-06,4.5–6.5,15633,4118558
2023-07,4.5–6.5,15046,4133604
2023-08,4.5–6.5,16654,4150258
2023-09,4.5–6.5,13839,4164097
2023-10,4.5–6.5,13294,4177391
2023-11,4.5–6.5,13566,4190957
2023-12,4.5–6.5,11806,4202763
2024-01,4.5–6.5,8814,4211577
2024-02,4.5–6.5,11108,4222685
2024-03,4.5–6.5,10120,4232805
2024-04,4.5–6.5,10377,4243182
2024-05,4.5–6.5,10617,4253799
2024-06,4.5–6.5,5646,4259445
2007-01,6.5–9.5,0,0
2007-02,6.5–9.5,15,15
2007-03,6.5–9.5,22,37
2007-04,6.5–9.5,20,57
2007-05,6.5–9.5,0,57
2007-06,6.5–9.5,15,72
2007-07,6.5–9.5,9,81
2007-08,6.5–9.5,0,81
2007-09,6.5–9.5,8,89
2007-10,6.5–9.5,30,119
2007-11,6.5–9.5,0,119
2007-12,6.5–9.5,39,158
2008-01,6.5–9.5,0,158
2008-02,6.5–9.5,22,180
2008-03,6.5–9.5,30,210
2008-04,6.5–9.5,44,254
2008-05,6.5–9.5,23,277
2008-06,6.5–9.5,9,286
2008-07,6.5–9.5,16,302
2008-08,6.5–9.5,22,324
2008-09,6.5–9.5,90,414
2008-10,6.5–9.5,17,431
2008-11,6.5–9.5,8,439
2008-12,6.5–9.5,32,471
2009-01,6.5–9.5,15,486
2009-02,6.5–9.5,23,509
2009-03,6.5–9.5,9,518
2009-04,6.5–9.5,35,553
2009-05,6.5–9.5,48,601
2009-06,6.5–9.5,16,617
2009-07,6.5–9.5,45,662
2009-08,6.5–9.5,60,722
2009-09,6.5–9.5,33,755
2009-10,6.5–9.5,53,808
2009-11,6.5–9.5,89,897
2009-12,6.5–9.5,113,1010
2010-01,6.5–9.5,77,1087
2010-02,6.5–9.5,183,1270
2010-03,6.5–9.5,260,1530
2010-04,6.5–9.5,235,1765
2010-05,6.5–9.5,368,2133
2010-06,6.5–9.5,512,2645
2010-07,6.5–9.5,610,3255
2010-08,6.5–9.5,748,4003
2010-09,6.5–9.5,726,4729
2010-10,6.5–9.5,944,5673
2010-11,6.5–9.5,768,6441
2010-12,6.5–9.5,686,7127
2011-01,6.5–9.5,941,8068
2011-02,6.5–9.5,1178,9246
2011-03,6.5–9.5,1057,10303
2011-04,6.5–9.5,1196,11499
2011-05,6.5–9.5,1517,13016
2011-06,6.5–9.5,2344,15360
2011-07,6.5–9.5,647,16007
2011-08,6.5–9.5,564,16571
2011-09,6.5–9.5,892,17463
2011-10,6.5–9.5,843,18306
2011-11,6.5–9.5,921,19227
2011-12,6.5–9.5,864,20091
2012-01,6.5–9.5,559,20650
2012-02,6.5–9.5,835,21485
2012-03,6.5–9.5,1098,22583
2012-04,6.5–9.5,990,23573
2012-05,6.5–9.5,2255,25828
2012-06,6.5–9.5,3657,29485
2012-07,6.5–9.5,1258,30743
2012-08,6.5–9.5,1919,32662
2012-09,6.5–9.5,2290,34952
2012-10,6.5–9.5,1733,36685
2012-11,6.5–9.5,1898,38583
2012-12,6.5–9.5,3625,42208
2013-01,6.5–9.5,1437,43645
2013-02,6.5–9.5,1827,45472
2013-03,6.5–9.5,2129,47601
2013-04,6.5–9.5,1862,49463
2013-05,6.5–9.5,2474,51937
2013-06,6.5–9.5,2769,54706
2013-07,6.5–9.5,2216,56922
2013-08,6.5–9.5,2774,59696
2013-09,6.5–9.5,2848,62544
2013-10,6.5–9.5,3556,66100
2013-11,6.5–9.5,3434,69534
2013-12,6.5–9.5,3024,72558
2014-01,6.5–9.5,3062,75620
2014-02,6.5–9.5,1939,77559
2014-03,6.5–9.5,1873,79432
2014-04,6.5–9.5,1670,81102
2014-05,6.5–9.5,2283,83385
2014-06,6.5–9.5,2055,85440
2014-07,6.5–9.5,2331,87771
2014-08,6.5–9.5,2475,90246
2014-09,6.5–9.5,2882,93128
2014-10,6.5–9.5,2791,95919
2014-11,6.5–9.5,2805,98724
2014-12,6.5–9.5,2863,101587
2015-01,6.5–9.5,2021,103608
2015-02,6.5–9.5,2626,106234
2015-03,6.5–9.5,2917,109151
2015-04,6.5–9.5,2414,111565
2015-05,6.5–9.5,2805,114370
2015-06,6.5–9.5,2872,117242
2015-07,6.5–9.5,3197,120439
2015-08,6.5–9.5,2809,123248
2015-09,6.5–9.5,2959,126207
2015-10,6.5–9.5,2965,129172
2015-11,6.5–9.5,3085,132257
