date,mw,value
2012-04,'30+ Mw',0
2012-04,'5Mw–30Mw',0
2012-04,100kW–5MW',100
2012-04,14–25kW',12039
2012-04,2.5–4.5kW',451703
2012-04,25–50kW',15936
2012-04,4.5–6.5kW',190798
2012-04,50–100kW',5670
2012-04,6.5–9.5kW',23573
2012-04,9.5–14kW',59837
2012-04,<2.5kW',833879
2012-05,'30+ Mw',0
2012-05,'5Mw–30Mw',0
2012-05,100kW–5MW',100
2012-05,14–25kW',13091
2012-05,2.5–4.5kW',495363
2012-05,25–50kW',17301
2012-05,4.5–6.5kW',222335
2012-05,50–100kW',5987
2012-05,6.5–9.5kW',25828
2012-05,9.5–14kW',62093
2012-05,<2.5kW',873575
2012-06,'30+ Mw',0
2012-06,'5Mw–30Mw',0
2012-06,100kW–5MW',100
2012-06,14–25kW',14876
2012-06,2.5–4.5kW',560439
2012-06,25–50kW',18761
2012-06,4.5–6.5kW',275934
2012-06,50–100kW',6404
2012-06,6.5–9.5kW',29485
2012-06,9.5–14kW',67154
2012-06,<2.5kW',921574
2012-07,'30+ Mw',0
2012-07,'5Mw–30Mw',0
2012-07,100kW–5MW',100
2012-07,14–25kW',16123
2012-07,2.5–4.5kW',590572
2012-07,25–50kW',19647
2012-07,4.5–6.5kW',299960
2012-07,50–100kW',6520
2012-07,6.5–9.5kW',30743
2012-07,9.5–14kW',68684
2012-07,<2.5kW',941326
2012-08,'30+ Mw',0
2012-08,'5Mw–30Mw',0
2012-08,100kW–5MW',100
2012-08,14–25kW',16955
2012-08,2.5–4.5kW',623505
2012-08,25–50kW',20475
2012-08,4.5–6.5kW',330394
2012-08,50–100kW',6726
2012-08,6.5–9.5kW',32662
2012-08,9.5–14kW',70342
2012-08,<2.5kW',960924
2012-09,'30+ Mw',0
2012-09,'5Mw–30Mw',0
2012-09,100kW–5MW',100
2012-09,14–25kW',18690
2012-09,2.5–4.5kW',658157
2012-09,25–50kW',21786
2012-09,4.5–6.5kW',366164
2012-09,50–100kW',6989
2012-09,6.5–9.5kW',34952
2012-09,9.5–14kW',72708
2012-09,<2.5kW',978422
2012-10,'30+ Mw',0
2012-10,'5Mw–30Mw',0
2012-10,100kW–5MW',300
2012-10,14–25kW',19915
2012-10,2.5–4.5kW',684325
2012-10,25–50kW',22496
2012-10,4.5–6.5kW',391498
2012-10,50–100kW',7581
2012-10,6.5–9.5kW',36685
2012-10,9.5–14kW',74255
2012-10,<2.5kW',994071
2012-11,'30+ Mw',0
2012-11,'5Mw–30Mw',0
2012-11,100kW–5MW',400
2012-11,14–25kW',20980
2012-11,2.5–4.5kW',710344
2012-11,25–50kW',23775
2012-11,4.5–6.5kW',417583
2012-11,50–100kW',7992
2012-11,6.5–9.5kW',38583
2012-11,9.5–14kW',76010
2012-11,<2.5kW',1009378
2012-12,'30+ Mw',0
2012-12,'5Mw–30Mw',0
2012-12,100kW–5MW',400
2012-12,14–25kW',22821
2012-12,2.5–4.5kW',747274
2012-12,25–50kW',25484
2012-12,4.5–6.5kW',457015
2012-12,50–100kW',8636
2012-12,6.5–9.5kW',42208
2012-12,9.5–14kW',79852
2012-12,<2.5kW',1027734
2013-01,'30+ Mw',0
2013-01,'5Mw–30Mw',0
2013-01,100kW–5MW',400
2013-01,14–25kW',23952
2013-01,2.5–4.5kW',765225
2013-01,25–50kW',26531
2013-01,4.5–6.5kW',474930
2013-01,50–100kW',9447
2013-01,6.5–9.5kW',43645
2013-01,9.5–14kW',81799
2013-01,<2.5kW',1037234
2013-02,'30+ Mw',0
2013-02,'5Mw–30Mw',0
2013-02,100kW–5MW',600
2013-02,14–25kW',25669
2013-02,2.5–4.5kW',784027
2013-02,25–50kW',27700
2013-02,4.5–6.5kW',495267
2013-02,50–100kW',10383
2013-02,6.5–9.5kW',45472
2013-02,9.5–14kW',84031
2013-02,<2.5kW',1046118
2013-03,'30+ Mw',0
2013-03,'5Mw–30Mw',0
2013-03,100kW–5MW',700
2013-03,14–25kW',27427
2013-03,2.5–4.5kW',803217
2013-03,25–50kW',29453
2013-03,4.5–6.5kW',518832
2013-03,50–100kW',11759
2013-03,6.5–9.5kW',47601
2013-03,9.5–14kW',86238
2013-03,<2.5kW',1054683
2013-04,'30+ Mw',0
2013-04,'5Mw–30Mw',0
2013-04,100kW–5MW',1000
2013-04,14–25kW',28689
2013-04,2.5–4.5kW',822442
2013-04,25–50kW',30934
2013-04,4.5–6.5kW',545620
2013-04,50–100kW',12861
2013-04,6.5–9.5kW',49463
2013-04,9.5–14kW',89074
2013-04,<2.5kW',1063133
2013-05,'30+ Mw',0
2013-05,'5Mw–30Mw',0
2013-05,100kW–5MW',1000
2013-05,14–25kW',30852
2013-05,2.5–4.5kW',844594
2013-05,25–50kW',33212
2013-05,4.5–6.5kW',582739
2013-05,50–100kW',14294
2013-05,6.5–9.5kW',51937
2013-05,9.5–14kW',91921
2013-05,<2.5kW',1072086
2013-06,'30+ Mw',0
2013-06,'5Mw–30Mw',0
2013-06,100kW–5MW',1200
2013-06,14–25kW',33191
2013-06,2.5–4.5kW',869029
2013-06,25–50kW',36161
